ID,t,d0_s1,impr,warm,comp,valence,statval,statnum,statchar,Itemtype,x1,x2,x3,x4,x5,x6,x7,x8,itemnum,Meanval1,Meanval2
3,7,0,-0.54,0.01,0.02,neg7,-1,7,INCPS3,6,-1,-1,0,0,0,1,1,1,3,2.56,2.38
3,8,0,-2.02,-1.53,-0.57,neg6,-1,6,INCPS2,6,-1,-1,0,0,0,1,1,1,2,2.82,2.64
3,9,0,2.06,1.05,1.03,pos8,1,8,COMS4,2,-1,1,1,1,1,0,0,0,4,5.89,5.98
3,10,0,-2.99,-2.99,-1.01,neg13,-1,13,INCSS1,8,-1,-1,0,0,0,-1,0,0,1,2.05,1.84
3,11,0,-2.09,-2.99,-1.57,neg9,-1,9,LIS1,7,-1,-1,0,0,0,1,-1,-1,1,2.3,2.11
3,12,0,2.03,2.04,1.01,pos1,1,1,KS1,1,-1,1,-1,0,0,0,0,0,1,5.91,6.01
3,13,0,-2.05,-0.49,-0.06,neg1,-1,1,RS1,5,-1,-1,0,0,0,-1,0,0,1,1.86,1.63
3,14,0,-1.01,-0.49,-2.99,neg12,-1,12,LIS4,7,-1,-1,0,0,0,1,-1,-1,4,2.79,2.62
3,15,0,0.55,1.01,1.06,neut4,0,4,NS4,9,8,0,0,0,0,0,0,0,4,4.36,4.36
3,16,0,2.54,3,2.07,pos14,1,14,CONS2,4,-1,1,-1,0,0,0,0,0,2,6.05,6.16
3,17,0,3,3,2.5,pos11,1,11,ITS3,3,-1,1,1,-1,-1,0,0,0,3,6.16,6.2
3,18,0,-2.99,-2.99,-2.51,neg11,-1,11,LIS3,7,-1,-1,0,0,0,1,-1,-1,3,1.9,1.68
3,19,0,1.47,1.52,1.64,pos7,1,7,COMS3,2,-1,1,1,1,1,0,0,0,3,5.82,5.88
3,20,0,-2.1,-1.55,-2.99,neg16,-1,16,INCSS4,8,-1,-1,0,0,0,-1,0,0,4,2.33,2.1
3,21,0,0.53,0.52,0.52,neut1,0,1,NS1,9,8,0,0,0,0,0,0,0,1,4.34,4.25
3,22,0,-2.1,-2.04,-2.99,neg10,-1,10,LIS2,7,-1,-1,0,0,0,1,-1,-1,2,2.36,2.21
3,23,0,1.54,0.45,-0.05,neut3,0,3,NS3,9,8,0,0,0,0,0,0,0,3,4.17,4.11
3,24,0,-2.05,0.45,-0.05,neg15,-1,15,INCSS3,8,-1,-1,0,0,0,-1,0,0,3,2.49,2.31
3,25,0,-2.99,-2.01,-2.99,neg8,-1,8,INCPS4,6,-1,-1,0,0,0,1,1,1,4,2.67,2.48
3,26,0,0.48,0.56,0.55,neut8,0,8,NS8,9,8,0,0,0,0,0,0,0,8,4.39,4.33
3,27,0,3,3,2.05,pos5,1,5,COMS1,2,-1,1,1,1,1,0,0,0,1,6.11,6.17
3,28,0,1.01,1.04,0.47,pos3,1,3,KS3,1,-1,1,-1,0,0,0,0,0,3,5.71,5.83
3,29,0,1.62,1.58,0.03,neut6,0,6,NS6,9,8,0,0,0,0,0,0,0,6,4.31,4.3
3,30,0,0.52,0.59,0.03,neut5,0,5,NS5,9,8,0,0,0,0,0,0,0,5,4.3,4.25
3,31,0,2.54,2.05,1.58,pos16,1,16,CONS4,4,-1,1,-1,0,0,0,0,0,4,5.97,6.07
3,32,0,1.47,1.49,2.56,pos6,1,6,COMS2,2,-1,1,1,1,1,0,0,0,2,6.1,6.17
3,33,0,3,1.49,0.52,pos4,1,4,KS4,1,-1,1,-1,0,0,0,0,0,4,5.78,5.81
3,34,0,0.47,1.02,0.56,neg5,-1,5,INCPS1,6,-1,-1,0,0,0,1,1,1,1,2.52,2.36
3,35,0,0.01,0.03,0,neut7,0,7,NS7,9,8,0,0,0,0,0,0,0,7,4.16,4.12
3,36,0,3,3,1.55,pos12,1,12,ITS4,3,-1,1,1,-1,-1,0,0,0,4,6.18,6.3
3,37,0,-2.01,-2.51,-1,neg3,-1,3,RS3,5,-1,-1,0,0,0,-1,0,0,3,2.12,1.91
3,38,0,3,3,2.56,pos13,1,13,CONS1,4,-1,1,-1,0,0,0,0,0,1,5.9,5.94
3,39,0,-1.02,0.5,0,neg2,-1,2,RS2,5,-1,-1,0,0,0,-1,0,0,2,2.48,2.35
3,40,0,3,2.05,2.08,pos10,1,10,ITS2,3,-1,1,1,-1,-1,0,0,0,2,6.24,6.31
4,1,0,1.98,2.1,0.71,pos12,1,12,ITS4,3,-1,1,1,-1,-1,0,0,0,4,6.18,6.3
4,2,0,3,2.32,0.87,pos1,1,1,KS1,1,-1,1,-1,0,0,0,0,0,1,5.91,6.01
4,3,0,1.53,2.1,0.44,neg3,-1,3,RS3,5,-1,-1,0,0,0,-1,0,0,3,2.12,1.91
4,4,0,1.32,2.1,0.33,neg2,-1,2,RS2,5,-1,-1,0,0,0,-1,0,0,2,2.48,2.35
4,5,0,1.32,2.1,0.33,neut6,0,6,NS6,9,8,0,0,0,0,0,0,0,6,4.31,4.3
4,6,0,0.7,1.83,0.33,neg10,-1,10,LIS2,7,-1,-1,0,0,0,1,-1,-1,2,2.36,2.21
4,7,0,-0.95,1.83,-0.25,neg7,-1,7,INCPS3,6,-1,-1,0,0,0,1,1,1,3,2.56,2.38
4,8,0,-1.23,1.83,-0.25,neg9,-1,9,LIS1,7,-1,-1,0,0,0,1,-1,-1,1,2.3,2.11
4,9,0,-1.23,1.83,-0.25,neut2,0,2,NS2,9,8,0,0,0,0,0,0,0,2,4.29,4.21
