ID,d0_s1,Pair,Length,Total_IMPR,Total_BEH,BEH1,BEH2,BEH3,BEH4,BEH5,BEH6,BEH7,BEH8,BEH9,BEH10,BEH11,BEH12,BEH13,BEH14,BEH15,BEH16,IMPR1,IMPR2,IMPR3,IMPR4,IMPR5,IMPR6,IMPR7,IMPR8,IMPR9,IMPR10,IMPR11,IMPR12,IMPR13,IMPR14,IMPR15,IMPR16
64,0,463,10,3.00|3.00|.00|.00|3.00|3.00|-1.99|3.00|-1.55|-1.55|,posposnegneutposposnegposnegneg,pos,pos,neg,neut,pos,pos,neg,pos,neg,neg,NA,NA,NA,NA,NA,NA,3.00,3.00,.00,.00,3.00,3.00,-1.99,3.00,-1.55,-1.55,NA,NA,NA,NA,NA,NA
66,0,464,10,1.81|1.81|2.09|.24|-1.38|-1.38|-1.38|-1.38|-1.38|-1.38|,posposnegneutposposposneutnegpos,pos,pos,neg,neut,pos,pos,pos,neut,neg,pos,NA,NA,NA,NA,NA,NA,1.81,1.81,2.09,.24,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,NA,NA,NA,NA,NA,NA
159,1,464,10,.12|1.05|1.05|1.05|1.19|1.19|1.36|1.36|1.36|1.54|,posposnegneutposposposneutnegpos,pos,pos,neg,neut,pos,pos,pos,neut,neg,pos,NA,NA,NA,NA,NA,NA,.12,1.05,1.05,1.05,1.19,1.19,1.36,1.36,1.36,1.54,NA,NA,NA,NA,NA,NA
49,0,465,10,-2.29|-1.91|-2.18|-1.88|-1.96|-2.20|-2.20|-3.00|-3.00|-3.00|,posposnegposnegnegnegnegnegneut,pos,pos,neg,pos,neg,neg,neg,neg,neg,neut,NA,NA,NA,NA,NA,NA,-2.29,-1.91,-2.18,-1.88,-1.96,-2.20,-2.20,-3.00,-3.00,-3.00,NA,NA,NA,NA,NA,NA
37,0,465,10,.30|-.41|.81|.16|.16|-.35|-.35|-1.56|-1.56|-.01|,posposnegposnegnegnegnegnegneut,pos,pos,neg,pos,neg,neg,neg,neg,neg,neut,NA,NA,NA,NA,NA,NA,.30,-.41,.81,.16,.16,-.35,-.35,-1.56,-1.56,-.01,NA,NA,NA,NA,NA,NA
88,0,466,10,-2.04|-2.04|-2.04|-1.83|-1.83|-1.64|-1.68|-2.00|-1.72|-1.83|,posposnegposnegnegnegnegpospos,pos,pos,neg,pos,neg,neg,neg,neg,pos,pos,NA,NA,NA,NA,NA,NA,-2.04,-2.04,-2.04,-1.83,-1.83,-1.64,-1.68,-2.00,-1.72,-1.83,NA,NA,NA,NA,NA,NA
30,0,466,10,-.07|-.07|-.07|-.07|-.07|-.99|-.99|-.99|-.99|-.99|,posposnegposnegnegnegnegpospos,pos,pos,neg,pos,neg,neg,neg,neg,pos,pos,NA,NA,NA,NA,NA,NA,-.07,-.07,-.07,-.07,-.07,-.99,-.99,-.99,-.99,-.99,NA,NA,NA,NA,NA,NA
100,0,467,10,3.00|3.00|-3.00|3.00|-3.00|-2.20|-2.20|.03|.03|-3.00|,posposnegposnegnegnegneutneutneg,pos,pos,neg,pos,neg,neg,neg,neut,neut,neg,NA,NA,NA,NA,NA,NA,3.00,3.00,-3.00,3.00,-3.00,-2.20,-2.20,.03,.03,-3.00,NA,NA,NA,NA,NA,NA
134,1,467,10,-1.95|-2.99|.02|-2.99|-2.99|-2.99|3.00|.02|-2.41|.00|,posposnegposnegnegnegneutneutneg,pos,pos,neg,pos,neg,neg,neg,neut,neut,neg,NA,NA,NA,NA,NA,NA,-1.95,-2.99,.02,-2.99,-2.99,-2.99,3.00,.02,-2.41,.00,NA,NA,NA,NA,NA,NA
54,0,468,10,2.04|2.54|2.12|2.34|2.08|1.82|.50|1.45|1.45|2.08|,posposnegposnegnegnegposneutpos,pos,pos,neg,pos,neg,neg,neg,pos,neut,pos,NA,NA,NA,NA,NA,NA,2.04,2.54,2.12,2.34,2.08,1.82,.50,1.45,1.45,2.08,NA,NA,NA,NA,NA,NA
